Date,V
2024-08-01,265.92999267578125
2024-08-02,266.5799865722656
2024-08-05,256.44000244140625
2024-08-06,258.260009765625
2024-08-07,256.5199890136719
2024-08-08,259.8299865722656
2024-08-09,259.760009765625
2024-08-12,259.8900146484375
2024-08-13,260.1300048828125
2024-08-14,261.1400146484375
2024-08-15,266.79998779296875
2024-08-16,267.3800048828125
2024-08-19,266.4700012207031
2024-08-20,268.0400085449219
2024-08-21,268.20001220703125
2024-08-22,267.94000244140625
2024-08-23,267.44000244140625
2024-08-26,268.2099914550781
2024-08-27,270.7200012207031
2024-08-28,269.19000244140625
2024-08-29,274.32000732421875
2024-08-30,276.3699951171875
2024-09-03,278.5400085449219
2024-09-04,280.489990234375
2024-09-05,278.6199951171875
2024-09-06,279.3699951171875
2024-09-09,285.6099853515625
2024-09-10,285.3399963378906
2024-09-11,283.9599914550781
2024-09-12,285.3699951171875
2024-09-13,287.3500061035156
2024-09-16,290.4800109863281
2024-09-17,291.55999755859375
2024-09-18,288.4800109863281
2024-09-19,285.239990234375
2024-09-20,284.7699890136719
2024-09-23,288.6300048828125
2024-09-24,272.7799987792969
2024-09-25,269.6300048828125
2024-09-26,271.69000244140625
2024-09-27,275.1700134277344
2024-09-30,274.95001220703125
2024-10-01,277.6000061035156
2024-10-02,277.0
2024-10-03,276.8599853515625
2024-10-04,277.92999267578125
2024-10-07,273.7900085449219
2024-10-08,274.9599914550781
2024-10-09,276.92999267578125
2024-10-10,277.4700012207031
2024-10-11,277.8399963378906
2024-10-14,280.67999267578125
2024-10-15,279.2900085449219
2024-10-16,287.5199890136719
2024-10-17,290.3900146484375
2024-10-18,290.6199951171875
2024-10-21,286.8500061035156
2024-10-22,284.7900085449219
2024-10-23,283.760009765625
2024-10-24,283.2200012207031
2024-10-25,281.7300109863281
2024-10-28,284.19000244140625
2024-10-29,281.8800048828125
2024-10-30,290.1600036621094
2024-10-31,289.8500061035156
2024-11-01,290.739990234375
2024-11-04,291.8500061035156
2024-11-05,293.2900085449219
2024-11-06,307.3999938964844
2024-11-07,305.79998779296875
2024-11-08,307.8699951171875
2024-11-11,310.9200134277344
2024-11-12,309.8500061035156
2024-11-13,309.4800109863281
2024-11-14,308.25
2024-11-15,309.6400146484375
2024-11-18,312.1600036621094
2024-11-19,311.8500061035156
2024-11-20,307.3900146484375
2024-11-21,309.8999938964844
2024-11-22,309.9200134277344
2024-11-25,313.19000244140625
2024-11-26,311.82000732421875
2024-11-27,314.70001220703125
2024-11-29,315.0799865722656
2024-12-02,316.6499938964844
2024-12-03,313.010009765625
2024-12-04,309.8999938964844
2024-12-05,309.0799865722656
2024-12-06,311.010009765625
2024-12-09,308.29998779296875
2024-12-10,312.3800048828125
2024-12-11,313.7900085449219
2024-12-12,314.2300109863281
2024-12-13,314.739990234375
2024-12-16,315.8900146484375
2024-12-17,318.29998779296875
2024-12-18,309.7799987792969
2024-12-19,314.8800048828125
2024-12-20,317.7099914550781
2024-12-23,317.2200012207031
2024-12-24,320.6499938964844
2024-12-26,320.9100036621094
2024-12-27,318.6600036621094
2024-12-30,315.30999755859375
