Date,BA
2025-01-02,171.8699951171875
2025-01-03,169.89999389648438
2025-01-06,170.77999877929688
2025-01-07,172.50999450683594
2025-01-08,171.75999450683594
2025-01-10,172.0
2025-01-13,170.57000732421875
2025-01-14,167.02000427246094
2025-01-15,166.1999969482422
2025-01-16,168.92999267578125
2025-01-17,171.08999633789062
2025-01-21,175.55999755859375
2025-01-22,174.8000030517578
2025-01-23,178.5
2025-01-24,176.05999755859375
2025-01-27,175.16000366210938
2025-01-28,177.77999877929688
2025-01-29,173.66000366210938
2025-01-30,179.52999877929688
2025-01-31,176.52000427246094
2025-02-03,175.8699951171875
2025-02-04,176.22999572753906
2025-02-05,181.83999633789062
2025-02-06,184.8000030517578
2025-02-07,181.49000549316406
2025-02-10,180.5500030517578
2025-02-11,180.44000244140625
2025-02-12,186.25
2025-02-13,185.44000244140625
2025-02-14,184.4199981689453
2025-02-18,184.97000122070312
2025-02-19,186.14999389648438
2025-02-20,180.8800048828125
2025-02-21,177.14999389648438
2025-02-24,179.91000366210938
2025-02-25,178.27000427246094
2025-02-26,173.0399932861328
2025-02-27,173.8300018310547
2025-02-28,174.6300048828125
2025-03-03,170.05999755859375
2025-03-04,158.89999389648438
2025-03-05,163.16000366210938
2025-03-06,158.42999267578125
2025-03-07,154.17999267578125
2025-03-10,148.14999389648438
2025-03-11,154.05999755859375
2025-03-12,158.8000030517578
2025-03-13,159.32000732421875
2025-03-14,161.80999755859375
2025-03-17,161.85000610351562
2025-03-18,161.57000732421875
2025-03-19,172.6199951171875
2025-03-20,172.8300018310547
2025-03-21,178.11000061035156
2025-03-24,180.89999389648438
2025-03-25,182.58999633789062
2025-03-26,178.5500030517578
2025-03-27,179.11000061035156
2025-03-28,173.30999755859375
