Date,GS
2025-01-02,574.969970703125
2025-01-03,580.1300048828125
2025-01-06,583.3900146484375
2025-01-07,580.1199951171875
2025-01-08,580.02001953125
2025-01-10,560.0
2025-01-13,562.9500122070312
2025-01-14,571.530029296875
2025-01-15,605.9199829101562
2025-01-16,612.989990234375
2025-01-17,625.9400024414062
2025-01-21,634.739990234375
2025-01-22,632.72998046875
2025-01-23,639.5
2025-01-24,636.9000244140625
2025-01-27,633.280029296875
2025-01-28,637.7999877929688
2025-01-29,637.3800048828125
2025-01-30,645.7000122070312
2025-01-31,640.4000244140625
2025-02-03,632.3699951171875
2025-02-04,634.1799926757812
2025-02-05,645.4500122070312
2025-02-06,658.219970703125
2025-02-07,655.9000244140625
2025-02-10,650.530029296875
2025-02-11,647.239990234375
2025-02-12,649.0
2025-02-13,648.9500122070312
2025-02-14,660.5499877929688
2025-02-18,672.1900024414062
2025-02-19,668.1500244140625
2025-02-20,642.260009765625
2025-02-21,625.5999755859375
2025-02-24,626.1400146484375
2025-02-25,614.9099731445312
2025-02-26,617.77001953125
2025-02-27,608.0
2025-02-28,622.2899780273438
2025-03-03,605.260009765625
2025-03-04,581.1400146484375
2025-03-05,593.0700073242188
2025-03-06,567.6699829101562
2025-03-07,559.6699829101562
2025-03-10,531.6599731445312
2025-03-11,531.4299926757812
2025-03-12,535.7100219726562
2025-03-13,524.8099975585938
2025-03-14,541.4099731445312
2025-03-17,551.3400268554688
2025-03-18,551.780029296875
2025-03-19,557.3400268554688
2025-03-20,562.6799926757812
2025-03-21,565.1400146484375
2025-03-24,580.0999755859375
2025-03-25,585.9400024414062
2025-03-26,573.9199829101562
2025-03-27,558.9199829101562
2025-03-28,543.1199951171875
