Date,MRK
2025-01-02,99.16999816894531
2025-01-03,99.13999938964844
2025-01-06,99.72000122070312
2025-01-07,101.0199966430664
2025-01-08,99.8499984741211
2025-01-10,99.25
2025-01-13,100.9800033569336
2025-01-14,99.6500015258789
2025-01-15,100.08999633789062
2025-01-16,100.69999694824219
2025-01-17,97.91999816894531
2025-01-21,96.23999786376953
2025-01-22,95.68000030517578
2025-01-23,96.62999725341797
2025-01-24,95.55000305175781
2025-01-27,97.94000244140625
2025-01-28,97.44999694824219
2025-01-29,98.27999877929688
2025-01-30,98.94999694824219
2025-01-31,98.81999969482422
2025-02-03,99.79000091552734
2025-02-04,90.73999786376953
2025-02-05,89.66999816894531
2025-02-06,88.05000305175781
2025-02-07,87.27999877929688
2025-02-10,86.4000015258789
2025-02-11,86.54000091552734
2025-02-12,85.66999816894531
2025-02-13,84.41999816894531
2025-02-14,83.01000213623047
2025-02-18,83.29000091552734
2025-02-19,85.5999984741211
2025-02-20,87.68000030517578
2025-02-21,89.5
2025-02-24,91.2699966430664
2025-02-25,91.43000030517578
2025-02-26,89.37999725341797
2025-02-27,90.58000183105469
2025-02-28,92.25
2025-03-03,93.1500015258789
2025-03-04,92.55999755859375
2025-03-05,93.19000244140625
2025-03-06,94.0
2025-03-07,94.6500015258789
2025-03-10,95.2300033569336
2025-03-11,94.7300033569336
2025-03-12,93.3499984741211
2025-03-13,94.70999908447266
2025-03-14,94.56999969482422
2025-03-17,94.79000091552734
2025-03-18,94.72000122070312
2025-03-19,94.0199966430664
2025-03-20,94.7300033569336
2025-03-21,93.11000061035156
2025-03-24,92.30999755859375
2025-03-25,87.87000274658203
2025-03-26,88.11000061035156
2025-03-27,87.5999984741211
2025-03-28,89.2300033569336
