Date,NVDA
2025-01-02,138.30999755859375
2025-01-03,144.47000122070312
2025-01-06,149.42999267578125
2025-01-07,140.13999938964844
2025-01-08,140.11000061035156
2025-01-10,135.91000366210938
2025-01-13,133.22999572753906
2025-01-14,131.75999450683594
2025-01-15,136.24000549316406
2025-01-16,133.57000732421875
2025-01-17,137.7100067138672
2025-01-21,140.8300018310547
2025-01-22,147.07000732421875
2025-01-23,147.22000122070312
2025-01-24,142.6199951171875
2025-01-27,118.41999816894531
2025-01-28,128.99000549316406
2025-01-29,123.69999694824219
2025-01-30,124.6500015258789
2025-01-31,120.06999969482422
2025-02-03,116.66000366210938
2025-02-04,118.6500015258789
2025-02-05,124.83000183105469
2025-02-06,128.67999267578125
2025-02-07,129.83999633789062
2025-02-10,133.57000732421875
2025-02-11,132.8000030517578
2025-02-12,131.13999938964844
2025-02-13,135.2899932861328
2025-02-14,138.85000610351562
2025-02-18,139.39999389648438
2025-02-19,139.22999572753906
2025-02-20,140.11000061035156
2025-02-21,134.42999267578125
2025-02-24,130.27999877929688
2025-02-25,126.62999725341797
2025-02-26,131.27999877929688
2025-02-27,120.1500015258789
2025-02-28,124.91999816894531
2025-03-03,114.05999755859375
2025-03-04,115.98999786376953
2025-03-05,117.30000305175781
2025-03-06,110.56999969482422
2025-03-07,112.69000244140625
2025-03-10,106.9800033569336
2025-03-11,108.76000213623047
2025-03-12,115.73999786376953
2025-03-13,115.58000183105469
2025-03-14,121.66999816894531
2025-03-17,119.52999877929688
2025-03-18,115.43000030517578
2025-03-19,117.5199966430664
2025-03-20,118.52999877929688
2025-03-21,117.69999694824219
2025-03-24,121.41000366210938
2025-03-25,120.69000244140625
2025-03-26,113.76000213623047
2025-03-27,111.43000030517578
2025-03-28,109.66999816894531
